Assembly	Cluster	X1	X2	ST	Country	CollectionYear	Aerobactin	Salmochelin	Species	Bla_Carb_acquired	Genotype
GCF_000220485.1_ASM22048v1_genomic.fna		-23.845666885375977	7.8316545486450195	ST375	nan	NA	iuc 1	iro 1	Klebsiella pneumoniae	-	hvKp
GCF_000281255.1_KPNIH2_1_genomic.fna		-22.109596252441406	-4.736721038818359	ST258	nan	NA	-	-	Klebsiella pneumoniae	KPC-3	CRKp
GCF_000281275.1_KPNIH5_1_genomic.fna		-22.109596252441406	-4.736721038818359	ST258	nan	NA	-	-	Klebsiella pneumoniae	KPC-3	CRKp
GCF_000281295.1_KPNIH6_1_genomic.fna		-22.109596252441406	-4.736721038818359	ST258	nan	NA	-	-	Klebsiella pneumoniae	KPC-3	CRKp
GCF_000281315.1_KPNIH9_1_genomic.fna		-22.109596252441406	-4.736721038818359	ST258	nan	NA	-	-	Klebsiella pneumoniae	KPC-3	CRKp
GCF_000281335.1_KPNIH12_1_genomic.fna		-22.109596252441406	-4.736721038818359	ST258	nan	NA	-	-	Klebsiella pneumoniae	KPC-3	CRKp
GCF_000281355.1_KPNIH17_1_genomic.fna		-22.109596252441406	-4.736721038818359	ST258	nan	NA	-	-	Klebsiella pneumoniae	KPC-3	CRKp
GCF_000281375.1_KPNIH20_1_genomic.fna		-22.109596252441406	-4.736721038818359	ST258	nan	NA	-	-	Klebsiella pneumoniae	KPC-3	CRKp
GCF_000281395.1_KPNIH4_1_genomic.fna		-22.109596252441406	-4.736721038818359	ST258	nan	NA	-	-	Klebsiella pneumoniae	KPC-3	CRKp
GCF_000281415.1_KPNIH7_1_genomic.fna		-22.109596252441406	-4.736721038818359	ST258	nan	NA	-	-	Klebsiella pneumoniae	KPC-3	CRKp
GCF_000281435.2_ASM28143v2_genomic.fna		-22.109596252441406	-4.736721038818359	ST258	nan	NA	-	-	Klebsiella pneumoniae	KPC-3	CRKp
GCF_000281455.1_KPNIH14_1_genomic.fna		-22.109596252441406	-4.736721038818359	ST258	nan	NA	-	-	Klebsiella pneumoniae	KPC-3	CRKp
